Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy,531,0.68,359.65,8981.545,89.82,22:13:00,189     0   342  35.6,3828.35 USDT  18.18%,4.78
ElliotV8_original_ichiv2,499,0.74,371.15,9504.510,95.05,13:49:00,466     0    33  93.4,4412.674 USDT  20.03%,5.01
Ichimoku_v32,267,1.19,317.29,4144.953,41.45,3 days 7:41:00,105     0   162  39.3,7250.063 USDT  59.07%,1.58
NASOSv4,577,0.43,247.29,5733.504,57.34,6:11:00,404     0   173  70.0,2141.316 USDT  13.51%,5.11
NASOSv5_mod1,214,1.91,408.11,10933.822,109.34,13:13:00,201     0    13  93.9,4039.867 USDT  27.44%,4.72
NASOSv5_mod3,240,2.03,486.91,14401.071,144.01,16:41:00,226     0    14  94.2,3455.779 USDT  23.47%,6.21
NotAnotherSMAOffsetStrategyHOv3,299,0.96,288.15,7560.957,75.61,5:23:00,233     0    66  77.9,828.757 USDT  4.77%,7.48
PrawnstarOBV,855,0.91,779.94,22927.720,229.28,1 day 3:58:00,687     3   165  80.4,12032.895 USDT  58.01%,8.12
SupertrendStrategy,1030,0.25,257.46,4753.711,47.54,14:33:00,352     0   678  34.2,3985.661 USDT  29.92%,3.45
