Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy,1659,0.07,123.26,1734.622,17.35,6:45:00,482     0  1177  29.1,2992.103 USDT  24.54%,2.17
ElliotV8_original_ichiv2,351,1.44,505.92,15952.388,159.52,5:48:00,336     0    15  95.7,3014.277 USDT  15.70%,7.82
Ichimoku_v32,802,0.27,212.95,2000.008,20.00,1 day 2:41:00,305     0   497  38.0,7668.159 USDT  55.98%,1.28
NASOSv4,351,0.23,82.03,1500.634,15.01,2:55:00,222     0   129  63.2,1589.694 USDT  13.85%,1.52
NASOSv5_mod1,121,1.68,203.40,4360.202,43.60,8:17:00,113     0     8  93.4,2563.085 USDT  24.34%,2.65
NASOSv5_mod3,166,2.35,390.71,11281.801,112.82,7:55:00,159     0     7  95.8,1555.256 USDT  11.79%,6.21
NotAnotherSMAOffsetStrategyHOv3,195,1.38,269.90,6954.644,69.55,2:19:00,162     0    33  83.1,553.707 USDT  3.56%,7.83
PrawnstarOBV,900,0.83,750.49,20076.194,200.76,1 day 2:43:00,728     1   171  80.9,11220.203 USDT  53.60%,7.51
SupertrendStrategy,3377,-0.10,-328.73,-5559.368,-55.59,4:22:00,1027     0  2350  30.4,7439.395 USDT  62.86%,-11.21
