Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy,1758,0.24,421.65,10323.679,103.24,6:57:00,546     0  1212  31.1,3687.279 USDT  15.98%,9.26
ElliotV8_original_ichiv2,500,1.12,561.25,19857.901,198.58,6:36:00,466     0    34  93.2,2715.811 USDT  9.53%,11.53
Ichimoku_v32,756,1.13,857.52,27648.960,276.49,1 day 4:44:00,279     0   477  36.9,5729.954 USDT  14.72%,7.37
NASOSv4,499,0.47,234.72,5650.629,56.51,3:01:00,356     0   143  71.3,1485.39 USDT  9.76%,5.29
NASOSv5_mod1,175,2.64,462.69,14748.046,147.48,6:29:00,168     0     7  96.0,1107.414 USDT  5.96%,11.32
NASOSv5_mod3,179,2.74,491.06,16139.056,161.39,5:45:00,174     0     5  97.2,1136.024 USDT  5.96%,12.37
NotAnotherSMAOffsetStrategyHOv3,284,0.88,250.40,6243.797,62.44,2:30:00,234     0    50  82.4,1353.125 USDT  9.04%,5.60
PrawnstarOBV,810,0.82,661.66,18131.653,181.32,1 day 5:33:00,664     0   146  82.0,5358.811 USDT  19.18%,7.64
SupertrendStrategy,3557,0.00,4.95,-1312.773,-13.13,4:16:00,1158     0  2399  32.6,5610.782 USDT  55.32%,-3.06
