Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy,601,1.05,630.06,19748.076,197.48,21:08:00,199     0   402  33.1,3458.066 USDT  10.54%,7.22
ElliotV8_original_ichiv2,645,1.01,651.43,24272.025,242.72,11:27:00,588     0    57  91.2,3603.757 USDT  19.57%,11.27
Ichimoku_v32,238,3.49,831.66,24056.034,240.56,3 days 19:27:00,97     0   141  40.8,3097.542 USDT  11.06%,4.38
NASOSv4,727,0.35,253.83,5771.408,57.71,5:37:00,482     0   245  66.3,1893.879 USDT  18.24%,5.72
NASOSv5_mod1,293,2.46,721.61,30996.504,309.97,20:37:00,277     0    16  94.5,2454.183 USDT  5.77%,11.40
NASOSv5_mod3,257,2.26,581.96,21158.120,211.58,1 day 0:40:00,235     0    22  91.4,1868.423 USDT  5.83%,10.53
NotAnotherSMAOffsetStrategyHOv3,458,1.07,490.23,15964.710,159.65,5:17:00,372     0    86  81.2,1527.735 USDT  5.56%,12.06
PrawnstarOBV,810,0.81,653.97,17862.617,178.63,1 day 5:23:00,648     1   161  80.0,6145.595 USDT  21.69%,7.57
SupertrendStrategy,1103,0.57,631.68,18818.583,188.19,13:58:00,375     0   728  34.0,4881.619 USDT  15.55%,8.53
