Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy,449,-0.51,-230.33,-3864.204,-38.64,19:35:00,115     0   334  25.6,4276.971 USDT  42.95%,-6.23
ElliotV8_original_ichiv2,140,0.51,71.81,1400.137,14.00,1 day 2:52:00,129     0    11  92.1,1105.755 USDT  10.70%,1.12
Ichimoku_v32,283,-1.86,-527.28,-6913.716,-69.14,3 days 0:59:00,76     0   207  26.9,7148.648 USDT  71.68%,-7.97
NASOSv4,175,0.55,96.10,1981.365,19.81,9:35:00,123     0    52  70.3,1064.623 USDT  9.14%,2.07
NASOSv5_mod1,49,3.17,155.42,3563.327,35.63,1 day 10:10:00,46     0     3  93.9,292.747 USDT  2.16%,6.03
NASOSv5_mod3,71,3.06,217.40,5329.485,53.29,1 day 9:37:00,68     0     3  95.8,433.444 USDT  2.88%,9.75
NotAnotherSMAOffsetStrategyHOv3,75,1.34,100.28,2188.886,21.89,7:14:00,63     0    12  84.0,373.571 USDT  3.18%,3.40
PrawnstarOBV,406,-0.74,-301.78,-5700.088,-57.00,2 days 10:52:00,294     0   112  72.4,6596.121 USDT  65.42%,-4.97
SupertrendStrategy,1026,-0.38,-394.52,-5710.088,-57.10,13:00:00,283     0   743  27.6,6061.193 USDT  60.98%,-11.78
