Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy,1628,-0.30,-490.42,-6377.237,-63.77,6:06:00,390     0  1238  24.0,6710.052 USDT  67.24%,-22.59
ElliotV8_original_ichiv2,45,1.52,68.43,1439.152,14.39,20:39:00,43     0     2  95.6,472.846 USDT  3.97%,1.75
Ichimoku_v32,737,-0.52,-384.42,-5898.147,-58.98,1 day 4:29:00,223     0   514  30.3,6350.573 USDT  63.57%,-9.02
NASOSv4,58,0.51,29.65,591.353,5.91,6:18:00,33     0    25  56.9,354.223 USDT  3.24%,0.85
NASOSv5_mod1,33,3.15,103.89,2250.448,22.50,17:08:00,32     0     1  97.0,187.251 USDT  1.51%,4.50
NASOSv5_mod3,36,3.62,130.35,2896.864,28.97,18:08:00,35     0     1  97.2,87.109 USDT  0.67%,8.13
NotAnotherSMAOffsetStrategyHOv3,25,0.04,0.88,11.360,0.11,4:33:00,17     0     8  68.0,334.247 USDT  3.23%,0.02
PrawnstarOBV,365,-1.05,-382.79,-6240.053,-62.40,2 days 17:40:00,259     3   103  71.0,6858.328 USDT  67.83%,-5.56
SupertrendStrategy,3392,-0.19,-629.45,-7331.205,-73.31,4:08:00,958     0  2434  28.2,7621.794 USDT  76.43%,-30.43
