Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown
VWAP,335,-0.15,-50.38,-1247.700,-12.48,24.7833 hours,293     0    42  87.5,2899.48 USDT  27.21%
WaveTrendStra,750,3.58,2684.82,465822.588,4658.23,144.883 hours,286     0   464  38.1,246487.724 USDT  54.77%
XebTradeStrat,620,-0.74,-460.33,-5990.212,-59.90,0.0833333 hours,122     0   498  19.7,5988.725 USDT  60.03%
YOLO,0,0.00,0.00,0,0.00,0 hours,0     0     0     0,0 USDT  0.00%
adaptive,552,-0.75,-415.84,-5827.922,-58.28,24.9167 hours,435     0   117  78.8,6398.85 USDT  62.93%
adx_opt_strat,0,0.00,0.00,0,0.00,0 hours,0     0     0     0,0 USDT  0.00%
adxbbrsi2,9,2.29,20.63,412.013,4.12,72.6667 hours,3     6     0   100,0 USDT  0.00%
bb_rsi_opt_new,8,4.17,33.37,665.253,6.65,21 hours,3     5     0   100,0 USDT  0.00%
bbrsi1_strategy,166,-1.34,-223.00,-3666.790,-36.67,16.6333 hours,111     0    55  66.9,4360.161 USDT  42.35%
bbrsi4Freq,100,1.40,140.45,2823.773,28.24,24.1167 hours,33    55    12  33.0,2833.544 USDT  18.90%
bestV2,828,-0.75,-621.09,-8242.881,-82.43,72.7833 hours,628     0   200  75.8,9461.333 USDT  88.94%
botbaby,158,-0.69,-109.18,-1947.708,-19.48,0 hours,16     0   142  10.1,1933.609 USDT  19.36%
conny,77,-0.91,-70.23,-1314.915,-13.15,10.2833 hours,13     5    59  16.9,1673.544 USDT  16.20%
e6v34,364,0.03,12.23,-299.621,-3.00,48.0167 hours,176    89    99  48.4,4340.958 USDT  33.17%
ema,214,11.09,2373.48,191217.095,1912.17,576.6 hours,87     0   127  40.7,182149.407 USDT  63.04%
epretrace,166,12.12,2011.15,142458.771,1424.59,1104.37 hours,101     0    65  60.8,154221.748 USDT  64.14%
flawless_lambo,63,1.86,116.93,2562.736,25.63,48.7667 hours,42     0    21  66.7,347.544 USDT  2.71%
hansencandlepatternV1,305,3.72,1134.32,48288.356,482.88,144.633 hours,108     0   197  35.4,15421.425 USDT  30.32%
heikin,730,3.02,2201.76,175732.425,1757.32,168.783 hours,264     0   466  36.2,124541.547 USDT  63.71%
hlhb,81,-0.93,-75.20,-1482.868,-14.83,72.6333 hours,61     9    11  75.3,2103.131 USDT  19.80%
ichiV1,1483,3.72,5516.68,90562810.293,905628.10,11.6667 hours,1088   354    41  73.4,1032069.352 USDT  1.54%
keltnerchannel,253,10.49,2654.45,397946.279,3979.46,384.95 hours,108     0   145  42.7,100523.165 USDT  31.58%
mabStra,115,-1.65,-189.96,-3254.667,-32.55,48.9833 hours,25    79    11  21.7,3626.22 USDT  34.97%
macd_recovery,68,-0.15,-9.88,-209.511,-2.10,10.9333 hours,40     2    26  58.8,432.063 USDT  4.27%
mark_strat,442,-0.77,-339.49,-5376.819,-53.77,48.8167 hours,191   210    41  43.2,7393.602 USDT  62.51%
mark_strat_opt,0,0.00,0.00,0,0.00,0 hours,0     0     0     0,0 USDT  0.00%
quantumfirst,27,-1.63,-44.03,-862.108,-8.62,6.21667 hours,16     0    11  59.3,767.809 USDT  7.84%
redditMA,178,-1.31,-233.78,-4431.547,-44.32,168.733 hours,167     0    11  93.8,5129.17 USDT  49.38%
stoploss,89,0.49,43.51,858.422,8.58,24.3833 hours,76     0    13  85.4,846.825 USDT  7.64%
stratfib,1,4.00,4.00,79.199,0.79,0 hours,1     0     0   100,0 USDT  0.00%
wtc,98,1.35,132.74,2717.942,27.18,96.65 hours,53    22    23  54.1,2279.788 USDT  17.29%
