Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown
Ichimoku_v12,258,3.82,984.44,49265.603,492.66,768.833 hours,253     0     5  98.1,54409.515 USDT  47.86%
Ichimoku_v30,10,182.02,1820.18,35096.495,350.96,19176.4 hours,7     0     3  70.0,4405.433 USDT  8.98%
Ichimoku_v32,25,135.46,3386.52,75297.593,752.98,6528.77 hours,12     0    13  48.0,12958.485 USDT  27.11%
Ichimoku_v33,116,6.60,765.06,26439.542,264.40,216.233 hours,51     0    65  44.0,4352.478 USDT  15.62%
JustROCR3,2795,-1.11,-3100.12,-9978.587,-99.79,0 hours,0     0  2795     0,9954.923 USDT  99.79%
JustROCR5,1836,-0.57,-1042.48,-8748.994,-87.49,1 hours,182     0  1654   9.9,9020.614 USDT  87.96%
JustROCR6,443,-0.64,-284.02,-4321.160,-43.21,0 hours,39     0   404   8.8,4423.042 USDT  44.09%
JustROCR,571,1.80,1029.39,23937.628,239.38,216.717 hours,259     0   312  45.4,61312.695 USDT  75.08%
KAMACCIRSI,305,0.52,158.16,3073.446,30.73,72.5167 hours,81   210    14  26.6,6452.79 USDT  37.16%
KC_BB,39,-3.82,-149.11,-3185.647,-31.86,504.617 hours,21     0    18  53.8,4298.242 USDT  41.26%
Kamaflage,181,3.14,568.76,13764.766,137.65,792.283 hours,176     0     5  97.2,29960.66 USDT  55.77%
Leveraged,1,-5.11,-5.11,-101.314,-1.01,0 hours,0     0     1     0,0 USDT  0.00%
Low_BB,285,-0.41,-116.74,-2419.474,-24.19,48.6833 hours,7     0   278   2.5,5073.806 USDT  40.10%
LuxOSC,22,17.10,376.09,2335.845,23.36,3744.45 hours,16     0     6  72.7,15572.74 USDT  58.24%
MACDCCI,35,286.80,10038.02,42656.646,426.57,4440.4 hours,6     0    29  17.1,81555.973 USDT  69.67%
MACDRSI200,37,-0.54,-20.04,-397.857,-3.98,11.6833 hours,18     2    17  48.6,416.038 USDT  4.16%
MACDStrategy,356,-0.21,-74.07,-2330.615,-23.31,72.95 hours,335     0    21  94.1,5412.361 USDT  43.35%
MACDStrategy_crossed,58,1.08,62.57,1292.041,12.92,48.2 hours,57     0     1  98.3,643.478 USDT  5.97%
MACD_EMA,215,-0.04,-8.12,-677.721,-6.78,72.6333 hours,193     0    22  89.8,4353.556 USDT  34.98%
MACD_TRIPLE_MA,33,-1.59,-52.33,-990.472,-9.90,10.1833 hours,6     6    21  18.2,927.876 USDT  9.34%
MACD_TRI_EMA,434,-1.38,-597.03,-6969.440,-69.69,14.3167 hours,76   101   257  17.5,6914.669 USDT  69.59%
MAC,31,53.48,1657.94,34453.764,344.54,1680.17 hours,9     0    22  29.0,11180.684 USDT  33.47%
MFI,54,-1.12,-60.25,-1172.660,-11.73,24.45 hours,37     0    17  68.5,1329.029 USDT  13.16%
Macd,546,4.16,2272.43,170610.734,1706.11,240.733 hours,184     0   362  33.7,99501.885 USDT  55.83%
MarketChyperHyperStrategy,182,0.34,62.70,1146.329,11.46,48.85 hours,55   108    19  30.2,1785.344 USDT  14.82%
Maro4hMacdSd,229,-0.20,-45.91,-984.983,-9.85,24.6833 hours,47   173     9  20.5,2127.988 USDT  19.34%
Martin,89,0.49,43.51,858.422,8.58,24.3833 hours,76     0    13  85.4,846.825 USDT  7.64%
MiniLambo,705,-1.82,-1283.43,-9258.468,-92.58,7.05 hours,162     0   543  23.0,9220.814 USDT  92.56%
Minmax,186,1.27,235.90,413.069,4.13,264.167 hours,18     0   168   9.7,10316.946 USDT  71.35%
Momentumv2,236,0.62,145.31,2823.756,28.24,48.4167 hours,105    16   115  44.5,2451.14 USDT  18.34%
MontrealStrategy,343,-1.33,-454.80,-6428.629,-64.29,48.75 hours,81   231    31  23.6,6968.955 USDT  66.25%
MostOfAll,286,-0.84,-238.90,-3892.333,-38.92,16.45 hours,34    69   183  11.9,4256.707 USDT  41.32%
MultiMA_TSL3,515,-2.05,-1054.71,-8866.716,-88.67,24.1 hours,95     0   420  18.4,8899.816 USDT  89.04%
MultiMA_TSL3_Mod,34,-2.01,-68.19,-1284.457,-12.84,48.5833 hours,8     0    26  23.5,1073.06 USDT  11.06%
MultiMa,456,0.99,452.52,8895.233,88.95,120.217 hours,192   222    42  42.1,12313.538 USDT  43.93%
MultiOffsetLamboV0,230,-1.79,-411.66,-7213.891,-72.14,336.55 hours,175     0    55  76.1,8643.324 USDT  78.44%
NormalizerStrategyHO2,179,-0.40,-72.32,-1417.091,-14.17,24.3 hours,57    53    69  31.8,2058.29 USDT  19.81%
NormalizerStrategy,236,-1.05,-247.48,-3917.329,-39.17,13.0167 hours,47     0   189  19.9,3949.437 USDT  39.65%
NotAnotherSMAOffSetStrategy_V2,437,-0.51,-220.91,-3916.248,-39.16,48.95 hours,207   198    32  47.4,4131.472 USDT  41.17%
NotAnotherSMAOffsetStrategyHO,830,-0.45,-372.00,-6106.006,-61.06,48.75 hours,389   367    74  46.9,6678.734 USDT  64.13%
NotAnotherSMAOffsetStrategyHOv3,749,0.24,179.14,-1080.408,-10.80,72.8 hours,661     0    88  88.3,10231.909 USDT  62.98%
NotAnotherSMAOffsetStrategyLite,955,-1.05,-999.98,-8754.002,-87.54,23.8167 hours,688     0   267  72.0,9080.494 USDT  88.84%
NotAnotherSMAOffsetStrategyModHO,809,-1.18,-958.29,-9089.564,-90.90,72.65 hours,300     0   509  37.1,9264.126 USDT  92.10%
NotAnotherSMAOffsetStrategyModHO_LamineDz_20210901,754,-1.06,-802.71,-8496.762,-84.97,72.6333 hours,284     0   470  37.7,8746.882 USDT  86.96%
NotAnotherSMAOffsetStrategyX1,782,-1.98,-1544.53,-9672.428,-96.72,24.7167 hours,23   275   484   2.9,9653.238 USDT  96.72%
NotAnotherSMAOffsetStrategy,862,-0.20,-173.87,-4612.118,-46.12,48.4333 hours,421   378    63  48.8,9129.985 USDT  64.42%
NotAnotherSMAOffsetStrategy_uzi3,949,-0.71,-673.75,-7974.262,-79.74,24.25 hours,776     0   173  81.8,8513.476 USDT  82.82%
NotAnotherSMAOffsetStrategy_uzi,1485,-1.01,-1495.59,-9529.322,-95.29,11.45 hours,647   389   449  43.6,9670.664 USDT  95.40%
NowoIchimoku1hV2,105,2.23,233.75,5681.692,56.82,96.9167 hours,51    49     5  48.6,1145.618 USDT  7.51%
